step,ts,y_real,y_linear,y_poly,y_alphabeta,y_kalman,y_naive,err_linear,err_poly,err_alphabeta,err_kalman,err_naive,err_rel_linear,err_rel_poly,err_rel_alphabeta,err_rel_kalman,err_rel_naive,w_pre_linear,w_pre_poly,w_pre_alphabeta,w_pre_kalman,w_pre_naive,w_linear,w_poly,w_alphabeta,w_kalman,w_naive,reward_linear,reward_poly,reward_alphabeta,reward_kalman,reward_naive,rank_linear,rank_poly,rank_alphabeta,rank_kalman,rank_naive,chosen_by_error,chosen_by_weight,choices_differ,decay_share,total_reward
83,2025-03-11 17:30:00,0.214519,0.22808,0.287951,0.225918,0.242261,0.213151,0.013561,0.073433,0.0114,0.027742,0.001367,6.321792,34.231399,5.314126,12.932252,-0.637325,-18.715328,-39.591241,20.627737,-18.605839,56.284672,-18.985401,-40.153285,20.722628,-19.058394,57.474453,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
84,2025-03-11 18:00:00,0.216524,0.238657,0.317655,0.228722,0.244896,0.214519,0.022133,0.101131,0.012198,0.028373,0.002005,10.222173,46.706638,5.633529,13.103673,-0.926093,-18.985401,-40.153285,20.722628,-19.058394,57.474453,-19.255474,-40.715328,20.817518,-19.510949,58.664234,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
85,2025-03-11 18:30:00,0.241303,0.247258,0.325624,0.231512,0.245047,0.216524,0.005955,0.084321,0.009791,0.003744,0.024779,2.467901,34.944039,-4.057628,1.551419,-10.268949,-19.255474,-40.715328,20.817518,-19.510949,58.664234,-19.160584,-41.277372,20.547445,-18.321168,58.211679,1.094891,0.437956,0.729927,2.189781,0.547445,2,5,3,1,4,kalman,kalman,False,1.0,5.0
86,2025-03-11 19:00:00,0.267918,0.279825,0.388626,0.257033,0.304473,0.241303,0.011908,0.120708,0.010884,0.036555,0.026615,4.444494,45.054274,-4.062569,13.644127,-9.933862,-19.160584,-41.277372,20.547445,-18.321168,58.211679,-19.065693,-41.839416,21.737226,-18.773723,57.941606,1.094891,0.437956,2.189781,0.547445,0.729927,2,5,1,4,3,alphabeta,alphabeta,False,1.0,5.0
87,2025-03-11 19:30:00,0.240192,0.329547,0.499374,0.286386,0.38662,0.267918,0.089355,0.259182,0.046194,0.146428,0.027726,37.201512,100.0,19.232185,60.962782,11.543131,-19.065693,-41.839416,21.737226,-18.773723,57.941606,-19.335766,-42.40146,21.832117,-19.226277,59.131387,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
88,2025-03-11 20:00:00,0.239272,0.324532,0.427585,0.261664,0.323918,0.240192,0.08526,0.188313,0.022392,0.084646,0.00092,35.633136,78.702609,9.35848,35.376636,0.384578,-19.335766,-42.40146,21.832117,-19.226277,59.131387,-19.788321,-42.963504,21.927007,-19.49635,60.321168,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
89,2025-03-11 20:30:00,0.205197,0.314287,0.33487,0.258146,0.277847,0.239272,0.10909,0.129673,0.052949,0.07265,0.034075,53.163459,63.19436,25.803878,35.405145,16.605985,-19.788321,-42.963504,21.927007,-19.49635,60.321168,-20.240876,-43.525547,22.021898,-19.766423,61.510949,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
90,2025-03-11 21:00:00,0.197754,0.25639,0.116406,0.223413,0.1608,0.205197,0.058636,0.081348,0.02566,0.036954,0.007443,29.651173,-41.135768,12.975493,-18.686926,3.763731,-20.240876,-43.525547,22.021898,-19.766423,61.510949,-20.693431,-44.087591,22.116788,-20.036496,62.70073,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
91,2025-03-11 21:30:00,0.190714,0.194437,-0.045361,0.21197,0.100949,0.197754,0.003723,0.236076,0.021256,0.089765,0.00704,1.952023,-100.0,11.145233,-47.067755,3.69115,-20.693431,-44.087591,22.116788,-20.036496,62.70073,-19.50365,-44.649635,21.846715,-20.489051,62.79562,2.189781,0.437956,0.729927,0.547445,1.094891,1,5,3,4,2,linear,linear,False,1.0,5.0
92,2025-03-11 22:00:00,0.193645,0.13044,-0.146886,0.202826,0.077055,0.190714,0.063204,0.340531,0.009181,0.11659,0.00293,-32.639334,-100.0,4.741198,-60.208193,-1.513295,-19.50365,-44.649635,21.846715,-20.489051,62.79562,-19.773723,-45.211679,21.941606,-20.941606,63.985401,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
93,2025-03-11 22:30:00,0.199337,0.080408,-0.164008,0.203345,0.098033,0.193645,0.11893,0.363345,0.004007,0.101305,0.005693,-59.662468,-100.0,2.010312,-50.820774,-2.855786,-19.773723,-45.211679,21.941606,-20.941606,63.985401,-20.226277,-45.773723,23.131387,-21.211679,64.080292,0.547445,0.437956,2.189781,0.729927,1.094891,4,5,1,3,2,alphabeta,alphabeta,False,1.0,5.0
94,2025-03-11 23:00:00,0.197913,0.077589,-0.098122,0.206703,0.141504,0.199337,0.120324,0.296035,0.00879,0.056408,0.001425,-60.796353,-100.0,4.441398,-28.501586,0.719832,-20.226277,-45.773723,23.131387,-21.211679,64.080292,-20.678832,-46.335766,23.226277,-21.481752,65.270073,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
95,2025-03-11 23:30:00,0.177724,0.121648,0.00624,0.203101,0.167973,0.197913,0.056076,0.171484,0.025378,0.009751,0.020189,-31.552396,-96.488862,14.279299,-5.486479,11.359762,-20.678832,-46.335766,23.226277,-21.481752,65.270073,-21.131387,-46.89781,22.956204,-20.291971,65.364964,0.547445,0.437956,0.729927,2.189781,1.094891,4,5,3,1,2,kalman,kalman,False,1.0,5.0
96,2025-03-12 00:00:00,0.137972,0.126334,0.076153,0.18022,0.13215,0.177724,0.011638,0.061819,0.042248,0.005822,0.039752,-8.434843,-44.805349,30.620854,-4.219725,28.811634,-21.131387,-46.89781,22.956204,-20.291971,65.364964,-21.036496,-47.459854,22.50365,-19.10219,65.094891,1.094891,0.437956,0.547445,2.189781,0.729927,2,5,4,1,3,kalman,kalman,False,1.0,5.0
97,2025-03-12 00:30:00,0.11355,0.100194,0.062438,0.136983,0.021767,0.137972,0.013356,0.051112,0.023433,0.091782,0.024422,-11.762224,-45.012572,20.636686,-80.830074,21.507839,-21.036496,-47.459854,22.50365,-19.10219,65.094891,-19.846715,-47.912409,22.59854,-19.664234,64.824818,2.189781,0.547445,1.094891,0.437956,0.729927,1,4,2,5,3,linear,linear,False,1.0,5.0
98,2025-03-12 01:00:00,0.092064,0.031059,-0.025302,0.106951,-0.065213,0.11355,0.061005,0.117366,0.014888,0.157277,0.021486,-66.26375,-100.0,16.170893,-100.0,23.338137,-19.846715,-47.912409,22.59854,-19.664234,64.824818,-20.116788,-48.364964,23.788321,-20.226277,64.919708,0.729927,0.547445,2.189781,0.437956,1.094891,3,4,1,5,2,alphabeta,alphabeta,False,1.0,5.0
99,2025-03-12 01:30:00,0.075361,-0.045311,-0.22336,0.082119,-0.121743,0.092064,0.120671,0.298721,0.006758,0.197104,0.016703,-100.0,-100.0,8.967433,-100.0,22.164245,-20.116788,-48.364964,23.788321,-20.226277,64.919708,-20.386861,-48.927007,24.978102,-20.678832,65.014599,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
100,2025-03-12 02:00:00,0.063322,-0.11789,-0.330733,0.062806,-0.145641,0.075361,0.181212,0.394055,0.000516,0.208963,0.012039,-100.0,-100.0,-0.815493,-100.0,19.011874,-20.386861,-48.927007,24.978102,-20.678832,65.014599,-20.656934,-49.489051,26.167883,-21.131387,65.109489,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
101,2025-03-12 02:30:00,0.054443,-0.164567,-0.418457,0.049142,-0.142017,0.063322,0.21901,0.472899,0.0053,0.196459,0.008879,-100.0,-100.0,-9.735554,-100.0,16.30924,-20.656934,-49.489051,26.167883,-21.131387,65.109489,-21.109489,-50.051095,27.357664,-21.40146,65.20438,0.547445,0.437956,2.189781,0.729927,1.094891,4,5,1,3,2,alphabeta,alphabeta,False,1.0,5.0
102,2025-03-12 03:00:00,0.047072,-0.172931,-0.355412,0.037808,-0.121683,0.054443,0.220003,0.402484,0.009264,0.168755,0.007371,-100.0,-100.0,-19.680057,-100.0,15.658312,-21.109489,-50.051095,27.357664,-21.40146,65.20438,-21.562044,-50.613139,27.452555,-21.671533,66.394161,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
103,2025-03-12 03:30:00,0.040676,-0.145818,-0.223633,0.03089,-0.09633,0.047072,0.186494,0.264309,0.009786,0.137006,0.006396,-100.0,-100.0,-24.058993,-100.0,15.724214,-21.562044,-50.613139,27.452555,-21.671533,66.394161,-22.014599,-51.175182,27.547445,-21.941606,67.583942,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
104,2025-03-12 04:00:00,0.036166,-0.104893,-0.042395,0.023652,-0.073015,0.040676,0.141059,0.07856,0.012513,0.10918,0.00451,-100.0,-100.0,-34.599606,-100.0,12.471774,-22.014599,-51.175182,27.547445,-21.941606,67.583942,-22.576642,-51.445255,27.642336,-22.394161,68.773723,0.437956,0.729927,1.094891,0.547445,2.189781,5,3,2,4,1,naive,naive,False,1.0,5.0
105,2025-03-12 04:30:00,0.034021,-0.078085,0.126128,0.018352,-0.051699,0.036166,0.112107,0.092106,0.015669,0.08572,0.002144,-100.0,100.0,-46.057418,-100.0,6.302594,-22.576642,-51.445255,27.642336,-22.394161,68.773723,-23.138686,-51.89781,27.737226,-22.664234,69.963504,0.437956,0.547445,1.094891,0.729927,2.189781,5,4,2,3,1,naive,naive,False,1.0,5.0
106,2025-03-12 05:00:00,0.034805,-0.053506,0.228513,0.016241,-0.030304,0.034021,0.088311,0.193708,0.018564,0.065108,0.000784,-100.0,100.0,-53.336573,-100.0,-2.251246,-23.138686,-51.89781,27.737226,-22.664234,69.963504,-23.591241,-52.459854,27.832117,-22.934307,71.153285,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
107,2025-03-12 05:30:00,0.039576,-0.030777,0.245448,0.0174,-0.006003,0.034805,0.070353,0.205873,0.022175,0.045579,0.004771,-100.0,100.0,-56.032652,-100.0,-12.054545,-23.591241,-52.459854,27.832117,-22.934307,71.153285,-24.043796,-53.021898,27.927007,-23.20438,72.343066,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
108,2025-03-12 06:00:00,0.050262,-0.005752,0.223134,0.022429,0.025187,0.039576,0.056015,0.172872,0.027833,0.025075,0.010687,-100.0,100.0,-55.376423,-49.888478,-21.261825,-24.043796,-53.021898,27.927007,-23.20438,72.343066,-24.49635,-53.583942,27.656934,-23.109489,73.532847,0.547445,0.437956,0.729927,1.094891,2.189781,4,5,3,2,1,naive,naive,False,1.0,5.0
109,2025-03-12 06:30:00,0.06751,0.028225,0.255192,0.033912,0.069429,0.050262,0.039285,0.187682,0.033599,0.001919,0.017248,-58.191391,100.0,-49.768304,2.841829,-25.54882,-24.49635,-53.583942,27.656934,-23.109489,73.532847,-24.948905,-54.145985,27.386861,-21.919708,73.627737,0.547445,0.437956,0.729927,2.189781,1.094891,4,5,3,1,2,kalman,kalman,False,1.0,5.0
110,2025-03-12 07:00:00,0.099782,0.076227,0.320822,0.052621,0.129555,0.06751,0.023555,0.22104,0.047161,0.029772,0.032272,-23.606523,100.0,-47.264331,29.837328,-32.342428,-24.948905,-54.145985,27.386861,-21.919708,73.627737,-23.759124,-54.708029,26.934307,-21.824818,73.357664,2.189781,0.437956,0.547445,1.094891,0.729927,1,5,4,2,3,linear,linear,False,1.0,5.0
111,2025-03-12 07:30:00,0.138437,0.150629,0.458401,0.086742,0.227119,0.099782,0.012192,0.319964,0.051695,0.088682,0.038655,8.806849,100.0,-37.341725,64.059244,-27.922324,-23.759124,-54.708029,26.934307,-21.824818,73.357664,-22.569343,-55.270073,26.664234,-22.277372,73.452555,2.189781,0.437956,0.729927,0.547445,1.094891,1,5,3,4,2,linear,linear,False,1.0,5.0
112,2025-03-12 08:00:00,0.171125,0.247955,0.645107,0.128412,0.343867,0.138437,0.076831,0.473982,0.042713,0.172743,0.032687,44.897554,100.0,-24.960113,100.0,-19.101502,-22.569343,-55.270073,26.664234,-22.277372,73.452555,-22.839416,-55.832117,26.759124,-22.729927,74.642336,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
113,2025-03-12 08:30:00,0.189902,0.348757,0.807376,0.165087,0.436961,0.171125,0.158855,0.617473,0.024816,0.247059,0.018778,83.650711,100.0,-13.067723,100.0,-9.888162,-22.839416,-55.832117,26.759124,-22.729927,74.642336,-23.109489,-56.394161,26.854015,-23.182482,75.832117,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
114,2025-03-12 09:00:00,0.205445,0.426818,0.867344,0.187412,0.471058,0.189902,0.221373,0.661898,0.018034,0.265613,0.015543,100.0,100.0,-8.777783,100.0,-7.565506,-23.109489,-56.394161,26.854015,-23.182482,75.832117,-23.379562,-56.956204,26.948905,-23.635036,77.021898,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
115,2025-03-12 09:30:00,0.212363,0.475239,0.828806,0.205125,0.468605,0.205445,0.262876,0.616443,0.007238,0.256242,0.006917,100.0,100.0,-3.408162,100.0,-3.257319,-23.379562,-56.956204,26.948905,-23.635036,77.021898,-23.832117,-57.518248,27.043796,-23.905109,78.211679,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
116,2025-03-12 10:00:00,0.217142,0.483761,0.689321,0.213668,0.431726,0.212363,0.26662,0.472179,0.003473,0.214584,0.004779,100.0,100.0,-1.599596,98.822133,-2.200825,-23.832117,-57.518248,27.043796,-23.905109,78.211679,-24.284672,-58.080292,28.233577,-24.175182,78.306569,0.547445,0.437956,2.189781,0.729927,1.094891,4,5,1,3,2,alphabeta,alphabeta,False,1.0,5.0
117,2025-03-12 10:30:00,0.214125,0.45684,0.488347,0.217331,0.38369,0.217142,0.242715,0.274222,0.003206,0.169565,0.003016,100.0,100.0,1.497243,79.189386,1.408658,-24.284672,-58.080292,28.233577,-24.175182,78.306569,-24.737226,-58.642336,28.328467,-24.445255,79.49635,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
118,2025-03-12 11:00:00,0.232715,0.395302,0.245694,0.21276,0.321278,0.214125,0.162586,0.012979,0.019955,0.088563,0.01859,69.865044,5.577014,-8.575039,38.056278,-7.98816,-24.737226,-58.642336,28.328467,-24.445255,79.49635,-25.29927,-57.452555,28.058394,-24.89781,79.591241,0.437956,2.189781,0.729927,0.547445,1.094891,5,1,3,4,2,poly,poly,False,1.0,5.0
119,2025-03-12 11:30:00,0.21345,0.352518,0.102745,0.233328,0.321868,0.232715,0.139068,0.110706,0.019878,0.108418,0.019265,65.152371,-51.864803,9.312469,50.792975,9.025317,-25.29927,-57.452555,28.058394,-24.89781,79.591241,-25.861314,-57.905109,28.153285,-25.167883,80.781022,0.437956,0.547445,1.094891,0.729927,2.189781,5,4,2,3,1,naive,naive,False,1.0,5.0
120,2025-03-12 12:00:00,0.215827,0.294006,-0.077148,0.215964,0.2531,0.21345,0.078179,0.292974,0.000137,0.037273,0.002376,36.223261,-100.0,0.063697,17.270046,-1.100959,-25.861314,-57.905109,28.153285,-25.167883,80.781022,-26.313869,-58.467153,29.343066,-25.437956,80.875912,0.547445,0.437956,2.189781,0.729927,1.094891,4,5,1,3,2,alphabeta,alphabeta,False,1.0,5.0
121,2025-03-12 12:30:00,0.208398,0.257546,-0.146577,0.219285,0.222199,0.215827,0.049149,0.354974,0.010887,0.013801,0.007429,23.58415,-100.0,5.224227,6.62251,3.564809,-26.313869,-58.467153,29.343066,-25.437956,80.875912,-26.766423,-59.029197,29.437956,-25.708029,82.065693,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
122,2025-03-12 13:00:00,0.207696,0.222246,-0.142199,0.212472,0.1883,0.208398,0.014549,0.349895,0.004775,0.019396,0.000701,7.005118,-100.0,2.299159,-9.338709,0.337652,-26.766423,-59.029197,29.437956,-25.708029,82.065693,-27.036496,-59.591241,29.532847,-26.160584,83.255474,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
123,2025-03-12 13:30:00,0.206996,0.200662,-0.076252,0.211549,0.176282,0.207696,0.006334,0.283248,0.004553,0.030715,0.0007,-3.059806,-100.0,2.199454,-14.838264,0.338277,-27.036496,-59.591241,29.532847,-26.160584,83.255474,-27.306569,-60.153285,29.627737,-26.613139,84.445255,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
124,2025-03-12 14:00:00,0.204962,0.186621,-0.002205,0.210428,0.175821,0.206996,0.01834,0.207166,0.005466,0.029141,0.002035,-8.948205,-100.0,2.666999,-14.217682,0.992674,-27.306569,-60.153285,29.627737,-26.613139,84.445255,-27.576642,-60.715328,29.722628,-27.065693,85.635036,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
125,2025-03-12 14:30:00,0.204045,0.178077,0.051916,0.207817,0.176675,0.204962,0.025968,0.152129,0.003772,0.02737,0.000917,-12.726752,-74.5567,1.848729,-13.41389,0.449245,-27.576642,-60.715328,29.722628,-27.065693,85.635036,-27.846715,-61.277372,29.817518,-27.518248,86.824818,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
126,2025-03-12 15:00:00,0.194723,0.168315,0.10633,0.20677,0.180432,0.204045,0.026408,0.088393,0.012047,0.014291,0.009322,-13.561712,-45.394366,6.186669,-7.339284,4.787127,-27.846715,-61.277372,29.817518,-27.518248,86.824818,-28.29927,-61.839416,29.912409,-27.788321,88.014599,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
127,2025-03-12 15:30:00,0.197308,0.174707,0.114048,0.198913,0.162332,0.194723,0.0226,0.08326,0.001605,0.034976,0.002584,-11.454414,-42.198136,0.813472,-17.726701,-1.30987,-28.29927,-61.839416,29.912409,-27.788321,88.014599,-28.569343,-62.40146,31.10219,-28.240876,88.109489,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
128,2025-03-12 16:00:00,0.204355,0.171085,0.14616,0.203673,0.168151,0.197308,0.03327,0.058195,0.000682,0.036204,0.007047,-16.280517,-28.47741,-0.333726,-17.716066,-3.448346,-28.569343,-62.40146,31.10219,-28.240876,88.109489,-28.839416,-62.963504,32.291971,-28.693431,88.20438,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
129,2025-03-12 16:30:00,0.206159,0.184599,0.205275,0.212756,0.195143,0.204355,0.02156,0.000884,0.006598,0.011016,0.001804,-10.457773,-0.428744,3.200299,-5.343537,-0.875146,-28.839416,-62.963504,32.291971,-28.693431,88.20438,-29.40146,-61.773723,32.021898,-29.145985,88.29927,0.437956,2.189781,0.729927,0.547445,1.094891,5,1,3,4,2,poly,poly,False,1.0,5.0
130,2025-03-12 17:00:00,0.211035,0.19424,0.278099,0.216899,0.21317,0.206159,0.016795,0.067064,0.005864,0.002135,0.004876,-7.958587,31.778488,2.778882,1.011915,-2.310596,-29.40146,-61.773723,32.021898,-29.145985,88.29927,-29.854015,-62.335766,31.751825,-27.956204,88.394161,0.547445,0.437956,0.729927,2.189781,1.094891,4,5,3,1,2,kalman,kalman,False,1.0,5.0
131,2025-03-12 17:30:00,0.206029,0.209768,0.276894,0.223239,0.23217,0.211035,0.003739,0.070865,0.017211,0.026141,0.005006,1.814879,34.395516,8.353488,12.688148,2.429779,-29.854015,-62.335766,31.751825,-27.956204,88.394161,-28.664234,-62.89781,31.481752,-28.408759,88.489051,2.189781,0.437956,0.729927,0.547445,1.094891,1,5,3,4,2,linear,linear,False,1.0,5.0
132,2025-03-12 18:00:00,0.207816,0.217041,0.282769,0.21957,0.222668,0.206029,0.009225,0.074953,0.011754,0.014852,0.001787,4.438965,36.067248,5.655879,7.146917,-0.859839,-28.664234,-62.89781,31.481752,-28.408759,88.489051,-28.569343,-63.459854,31.211679,-28.861314,89.678832,1.094891,0.437956,0.729927,0.547445,2.189781,2,5,3,4,1,naive,naive,False,1.0,5.0
133,2025-03-12 18:30:00,0.209805,0.224169,0.268529,0.221464,0.219945,0.207816,0.014365,0.058725,0.01166,0.010141,0.001989,6.846649,27.990267,5.557375,4.833346,-0.947927,-28.569343,-63.459854,31.211679,-28.861314,89.678832,-29.021898,-64.021898,30.941606,-28.766423,90.868613,0.547445,0.437956,0.729927,1.094891,2.189781,4,5,3,2,1,naive,naive,False,1.0,5.0
134,2025-03-12 19:00:00,0.212275,0.231655,0.268513,0.224021,0.22154,0.209805,0.01938,0.056238,0.011747,0.009265,0.00247,9.129825,26.493122,5.53377,4.364654,-1.163613,-29.021898,-64.021898,30.941606,-28.766423,90.868613,-29.474453,-64.583942,30.671533,-28.671533,92.058394,0.547445,0.437956,0.729927,1.094891,2.189781,4,5,3,2,1,naive,naive,False,1.0,5.0
135,2025-03-12 19:30:00,0.200636,0.228059,0.264451,0.227055,0.226303,0.212275,0.027423,0.063816,0.026419,0.025668,0.011639,13.668266,31.806818,13.167827,12.79319,5.801054,-29.474453,-64.583942,30.671533,-28.671533,92.058394,-29.927007,-65.145985,30.40146,-28.576642,93.248175,0.547445,0.437956,0.729927,1.094891,2.189781,4,5,3,2,1,naive,naive,False,1.0,5.0
136,2025-03-12 20:00:00,0.196038,0.207688,0.200093,0.215879,0.194797,0.200636,0.01165,0.004055,0.019841,0.001241,0.004598,5.942932,2.068557,10.121261,-0.633036,2.345409,-29.927007,-65.145985,30.40146,-28.576642,93.248175,-30.379562,-65.051095,29.839416,-27.386861,92.978102,0.547445,1.094891,0.437956,2.189781,0.729927,4,2,5,1,3,kalman,kalman,False,1.0,5.0
137,2025-03-12 20:30:00,0.1915,0.189812,0.132742,0.210146,0.170602,0.196038,0.001688,0.058758,0.018646,0.020898,0.004538,-0.881434,-30.682897,9.736668,-10.912698,2.369556,-30.379562,-65.051095,29.839416,-27.386861,92.978102,-29.189781,-65.613139,29.569343,-27.839416,93.072993,2.189781,0.437956,0.729927,0.547445,1.094891,1,5,3,4,2,linear,linear,False,1.0,5.0
138,2025-03-12 21:00:00,0.229173,0.171321,0.068363,0.204814,0.153676,0.1915,0.057851,0.16081,0.024359,0.075497,0.037672,-25.243526,-70.169658,-10.628918,-32.94314,-16.438485,-29.189781,-65.613139,29.569343,-27.839416,93.072993,-29.459854,-66.175182,30.759124,-28.291971,93.167883,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
139,2025-03-12 21:30:00,0.214583,0.211076,0.213719,0.241447,0.253461,0.229173,0.003506,0.000863,0.026864,0.038878,0.01459,-1.634075,-0.402363,12.519059,18.118045,6.799112,-29.459854,-66.175182,30.759124,-28.291971,93.167883,-29.364964,-64.985401,30.306569,-28.854015,92.89781,1.094891,2.189781,0.547445,0.437956,0.729927,2,1,4,5,3,poly,poly,False,1.0,5.0
140,2025-03-12 22:00:00,0.216812,0.220149,0.263484,0.229585,0.252167,0.214583,0.003337,0.046672,0.012773,0.035356,0.002229,1.539321,21.526474,5.891284,16.307103,-1.028059,-29.364964,-64.985401,30.306569,-28.854015,92.89781,-29.270073,-65.547445,30.036496,-29.306569,94.087591,1.094891,0.437956,0.729927,0.547445,2.189781,2,5,3,4,1,naive,naive,False,1.0,5.0
141,2025-03-12 22:30:00,0.219696,0.23162,0.293868,0.22919,0.249769,0.216812,0.011924,0.074173,0.009495,0.030073,0.002884,5.4277,33.761604,4.321664,13.688666,-1.312629,-29.270073,-65.547445,30.036496,-29.306569,94.087591,-29.540146,-66.109489,30.131387,-29.759124,95.277372,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
142,2025-03-12 23:00:00,0.214576,0.246432,0.317063,0.22948,0.249578,0.219696,0.031856,0.102487,0.014903,0.035002,0.005119,14.845773,47.762401,6.945381,16.312118,2.38569,-29.540146,-66.109489,30.131387,-29.759124,95.277372,-29.810219,-66.671533,30.226277,-30.211679,96.467153,0.729927,0.437956,1.094891,0.547445,2.189781,3,5,2,4,1,naive,naive,False,1.0,5.0
143,2025-03-12 23:30:00,0.194347,0.25493,0.283387,0.221473,0.229886,0.214576,0.060583,0.08904,0.027126,0.03554,0.02023,31.172656,45.815271,13.957784,18.286726,10.409068,-29.810219,-66.671533,30.226277,-30.211679,96.467153,-30.262774,-67.233577,30.321168,-30.481752,97.656934,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
144,2025-03-13 00:00:00,0.150343,0.222021,0.183117,0.198082,0.165188,0.194347,0.071677,0.032774,0.047739,0.014845,0.044003,47.675626,21.799124,31.753205,9.873941,29.268556,-30.262774,-67.233577,30.321168,-30.481752,97.656934,-30.824818,-67.138686,29.868613,-29.291971,97.386861,0.437956,1.094891,0.547445,2.189781,0.729927,5,2,4,1,3,kalman,kalman,False,1.0,5.0
145,2025-03-13 00:30:00,0.122644,0.130053,-0.056037,0.15047,0.028063,0.150343,0.007409,0.178681,0.027827,0.094581,0.0277,6.041141,-100.0,22.688987,-77.118601,22.58548,-30.824818,-67.138686,29.868613,-29.291971,97.386861,-29.635036,-67.70073,29.59854,-29.744526,97.481752,2.189781,0.437956,0.729927,0.547445,1.094891,1,5,3,4,2,linear,linear,False,1.0,5.0
146,2025-03-13 01:00:00,0.098475,0.012152,-0.300816,0.116922,-0.077579,0.122644,0.086323,0.399291,0.018447,0.176053,0.024169,-87.660093,-100.0,18.732772,-100.0,24.543437,-29.635036,-67.70073,29.59854,-29.744526,97.481752,-29.905109,-68.262774,30.788321,-30.19708,97.576642,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
147,2025-03-13 01:30:00,0.077737,-0.064047,-0.513769,0.089029,-0.144636,0.098475,0.141784,0.591506,0.011292,0.222373,0.020737,-100.0,-100.0,14.525991,-100.0,26.676362,-29.905109,-68.262774,30.788321,-30.19708,97.576642,-30.175182,-68.824818,31.978102,-30.649635,97.671533,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
148,2025-03-13 02:00:00,0.066093,-0.143436,-0.608851,0.065272,-0.177574,0.077737,0.20953,0.674944,0.000821,0.243668,0.011644,-100.0,-100.0,-1.242381,-100.0,17.61731,-30.175182,-68.824818,31.978102,-30.649635,97.671533,-30.445255,-69.386861,33.167883,-31.10219,97.766423,0.729927,0.437956,2.189781,0.547445,1.094891,3,5,1,4,2,alphabeta,alphabeta,False,1.0,5.0
