step,ts,y_real,y_linear,y_poly,y_alphabeta,y_kalman,err_linear,err_poly,err_alphabeta,err_kalman,err_rel_linear,err_rel_poly,err_rel_alphabeta,err_rel_kalman,w_pre_linear,w_pre_poly,w_pre_alphabeta,w_pre_kalman,w_linear,w_poly,w_alphabeta,w_kalman,reward_linear,reward_poly,reward_alphabeta,reward_kalman,rank_linear,rank_poly,rank_alphabeta,rank_kalman,chosen_by_error,chosen_by_weight,choices_differ,decay_share,total_reward
1,2025-12-07T16:59:21.867566+00:00,52.995002,50.0,50.0,50.0,50.0,2.995002,2.995002,2.995002,2.995002,-5.651481,-5.651481,-5.651481,-5.651481,0.0,0.0,0.0,0.0,1.5,0.5,-0.5,-1.5,4,3,2,1,1,2,3,4,linear,linear,False,2.5,10
2,2025-12-07T16:59:21.969766+00:00,55.96008,55.990005,52.995002,52.725452,55.788765,0.029925,2.965077,3.234628,0.171315,0.053476,-5.298558,-5.780241,-0.306138,1.5,0.5,-0.5,-1.5,3.0,0.0,-2.0,-1.0,4,2,1,3,1,3,4,2,linear,linear,False,2.5,10
3,2025-12-07T16:59:22.078509+00:00,58.865606,58.945107,58.895232,55.698913,58.867051,0.079501,0.029626,3.166693,0.001445,0.135055,0.050328,-5.37953,0.002454,3.0,0.0,-2.0,-1.0,2.5,0.5,-3.5,0.5,2,3,1,4,3,2,4,1,kalman,linear,True,2.5,10
4,2025-12-07T16:59:22.182231+00:00,61.68255,61.845646,61.733801,58.6429,61.800812,0.163096,0.051251,3.03965,0.118262,0.264412,0.083088,-4.927893,0.191727,2.5,0.5,-3.5,0.5,2.0,2.0,-5.0,1.0,2,4,1,3,3,1,4,2,poly,linear,True,2.5,10
5,2025-12-07T16:59:22.286702+00:00,64.382766,64.671359,64.463525,61.502945,64.629371,0.288593,0.080759,2.879821,0.246605,0.448246,0.125436,-4.472969,0.383029,2.0,2.0,-5.0,1.0,1.5,3.5,-6.5,1.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
6,2025-12-07T16:59:22.390794+00:00,66.939274,67.402534,67.058123,64.247942,67.330671,0.46326,0.118849,2.691332,0.391397,0.69206,0.177547,-4.020558,0.584704,1.5,3.5,-6.5,1.5,1.0,5.0,-8.0,2.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
7,2025-12-07T16:59:22.494620+00:00,69.326531,70.020157,69.492451,66.850212,69.870047,0.693626,0.16592,2.476318,0.543516,1.000521,0.239331,-3.571964,0.783995,1.0,5.0,-8.0,2.0,0.5,6.5,-9.5,2.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
8,2025-12-07T16:59:22.596644+00:00,71.520683,72.506052,71.742719,69.283733,72.212393,0.985369,0.222036,2.236949,0.691711,1.37774,0.31045,-3.127696,0.967148,0.5,6.5,-9.5,2.5,0.0,8.0,-11.0,3.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
9,2025-12-07T16:59:22.697544+00:00,73.499807,74.678699,73.7867,71.524192,74.328337,1.178892,0.286892,1.975616,0.82853,1.603939,0.390331,-2.687919,1.127254,0.0,8.0,-11.0,3.0,-0.5,9.5,-12.5,3.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
10,2025-12-07T16:59:22.803327+00:00,75.24413,76.604765,75.603921,73.549206,76.195359,1.360636,0.359792,1.694924,0.951229,1.808295,0.478166,-2.252566,1.264191,-0.5,9.5,-12.5,3.5,-1.0,11.0,-14.0,4.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
11,2025-12-07T16:59:22.906070+00:00,76.736221,78.265005,77.175845,75.338547,77.79603,1.528784,0.439624,1.397674,1.059809,1.992259,0.572903,-1.821401,1.381107,-1.0,11.0,-14.0,4.0,-2.5,12.5,-14.5,4.5,1,4,2,3,4,1,3,2,poly,poly,False,2.5,10
12,2025-12-07T16:59:23.011684+00:00,77.961173,79.642831,78.486025,76.874339,79.11617,1.681658,0.524852,1.086833,1.154997,2.157046,0.673223,-1.39407,1.481503,-2.5,12.5,-14.5,4.5,-4.0,14.0,-14.0,4.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
13,2025-12-07T16:59:23.115947+00:00,78.906746,80.724475,79.387924,78.141244,80.144018,1.817729,0.481178,0.765502,1.237272,2.303642,0.609806,-0.970135,1.568019,-4.0,14.0,-14.0,4.0,-5.5,15.5,-13.5,3.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
14,2025-12-07T16:59:23.221316+00:00,79.563492,81.49913,79.996188,79.126605,80.870175,1.935638,0.432696,0.436887,1.306683,2.432822,0.543838,-0.549105,1.642315,-5.5,15.5,-13.5,3.5,-7.0,17.0,-13.0,3.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
15,2025-12-07T16:59:23.327099+00:00,79.92485,81.959056,80.304741,79.820581,81.28783,2.034207,0.379891,0.104268,1.36298,2.545149,0.47531,-0.130458,1.705327,-7.0,17.0,-13.0,3.0,-8.5,17.5,-11.5,2.5,1,3,4,2,4,2,1,3,alphabeta,poly,True,2.5,10
16,2025-12-07T16:59:23.437695+00:00,79.987208,82.099658,80.310498,80.216244,81.392997,2.11245,0.32329,0.229036,1.405789,2.640985,0.404177,0.28634,1.757518,-8.5,17.5,-11.5,2.5,-10.0,18.0,-10.0,2.0,1,3,4,2,4,2,1,3,alphabeta,poly,True,2.5,10
17,2025-12-07T16:59:23.555157+00:00,79.749944,81.919531,80.013403,80.309642,81.184678,2.169587,0.263459,0.559698,1.434734,2.720487,0.330356,0.701816,1.79904,-10.0,18.0,-10.0,2.0,-11.5,19.5,-9.5,1.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
18,2025-12-07T16:59:23.637186+00:00,79.215429,81.420475,79.416424,80.099848,80.664939,2.205046,0.200995,0.884419,1.44951,2.783607,0.253732,1.116473,1.829833,-11.5,19.5,-9.5,1.5,-13.0,21.0,-9.0,1.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
19,2025-12-07T16:59:23.739299+00:00,78.389003,80.607475,78.525526,79.58896,79.838935,2.218473,0.136523,1.199958,1.449933,2.830081,0.174161,1.530773,1.849664,-13.0,21.0,-9.0,1.0,-14.5,22.5,-8.5,0.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
20,2025-12-07T16:59:23.840544+00:00,77.278923,79.488656,77.34961,78.782088,78.714878,2.209733,0.070687,1.503165,1.435955,2.859425,0.09147,1.945117,1.858146,-14.5,22.5,-8.5,0.5,-16.0,24.0,-9.0,1.0,1,4,2,3,4,1,3,2,poly,poly,False,2.5,10
21,2025-12-07T16:59:23.947441+00:00,75.896281,78.075196,75.900426,77.687298,77.303964,2.178915,0.004145,1.791017,1.407683,2.870911,0.005462,2.359821,1.854745,-16.0,24.0,-9.0,1.0,-17.5,25.5,-9.5,1.5,1,4,2,3,4,1,3,2,poly,poly,False,2.5,10
22,2025-12-07T16:59:24.051538+00:00,74.254892,76.381217,74.192454,76.315531,75.620263,2.126325,0.062439,2.060639,1.365371,2.863549,-0.084087,2.775088,1.838762,-17.5,25.5,-9.5,1.5,-19.0,27.0,-10.0,2.0,1,4,2,3,4,1,3,2,poly,poly,False,2.5,10
23,2025-12-07T16:59:24.155916+00:00,72.371156,74.423647,72.242758,74.680498,73.680584,2.05249,0.128398,2.309341,1.309427,2.836061,-0.177417,3.190969,1.809322,-19.0,27.0,-10.0,2.0,-19.5,28.5,-11.5,2.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
24,2025-12-07T16:59:24.262930+00:00,70.263895,72.222043,70.07082,72.798539,71.504297,1.958148,0.193075,2.534643,1.240402,2.786848,-0.274786,3.60732,1.765347,-19.5,28.5,-11.5,2.5,-20.0,30.0,-13.0,3.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
25,2025-12-07T16:59:24.367871+00:00,67.954164,69.798404,67.698341,70.688462,69.113144,1.84424,0.255823,2.734297,1.158979,2.713947,-0.376464,4.023738,1.705531,-20.0,30.0,-13.0,3.0,-20.5,31.5,-14.5,3.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
26,2025-12-07T16:59:24.469307+00:00,65.465041,67.176946,65.149026,68.371353,66.531014,1.711905,0.316015,2.906312,1.065973,2.614991,-0.482723,4.439487,1.628309,-20.5,31.5,-14.5,3.5,-21.0,33.0,-16.0,4.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
27,2025-12-07T16:59:24.572872+00:00,62.821396,64.383862,62.448347,65.870368,63.783709,1.562465,0.373049,3.048972,0.962312,2.487154,-0.593825,4.853397,1.531822,-21.0,33.0,-16.0,4.0,-21.5,34.5,-17.5,4.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
28,2025-12-07T16:59:24.675250+00:00,60.049645,61.447058,59.623289,63.2105,60.898678,1.397414,0.426356,3.160855,0.849034,2.327097,-0.710005,5.263737,1.413886,-21.5,34.5,-17.5,4.5,-22.0,36.0,-19.0,5.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
29,2025-12-07T16:59:24.780493+00:00,57.17748,58.39588,56.702077,60.418327,57.90475,1.2184,0.475402,3.240848,0.72727,2.130909,-0.831451,5.668049,1.271952,-22.0,36.0,-19.0,5.0,-22.5,37.5,-20.5,5.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
30,2025-12-07T16:59:24.888836+00:00,54.2336,55.260812,53.713901,57.521754,54.831839,1.027212,0.519699,3.288153,0.598239,1.894051,-0.95826,6.062945,1.103078,-22.5,37.5,-20.5,5.5,-23.0,39.0,-22.0,6.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
31,2025-12-07T16:59:24.988935+00:00,51.24742,52.073181,50.688617,54.549723,51.710649,0.825761,0.558803,3.302303,0.46323,1.611322,-1.090403,6.443843,0.903908,-23.0,39.0,-22.0,6.0,-23.5,39.5,-23.5,7.5,2,3,1,4,3,2,4,1,kalman,poly,True,2.5,10
32,2025-12-07T16:59:25.093698+00:00,48.248776,48.864835,47.656452,51.531935,48.572367,0.616059,0.592324,3.283159,0.323592,1.276838,-1.227645,6.804647,0.670673,-23.5,39.5,-23.5,7.5,-24.0,40.0,-25.0,9.0,2,3,1,4,3,2,4,1,kalman,poly,True,2.5,10
33,2025-12-07T16:59:25.198302+00:00,45.267629,45.667831,44.647703,48.472306,45.448351,0.400201,0.619926,3.204677,0.180722,0.884079,-1.369469,7.079401,0.399229,-24.0,40.0,-25.0,9.0,-23.5,39.5,-26.5,10.5,3,2,1,4,2,3,4,1,kalman,poly,True,2.5,10
34,2025-12-07T16:59:25.301763+00:00,42.333767,42.514112,41.692432,45.427942,42.369813,0.180345,0.641334,3.094175,0.036046,0.426008,-1.514948,7.309001,0.085146,-23.5,39.5,-26.5,10.5,-23.0,39.0,-28.0,12.0,3,2,1,4,2,3,4,1,kalman,poly,True,2.5,10
35,2025-12-07T16:59:25.407745+00:00,39.476503,39.43519,38.820168,42.429261,39.367513,0.041313,0.656335,2.952758,0.10899,-0.104652,-1.662596,7.479785,-0.276089,-23.0,39.0,-28.0,12.0,-21.5,38.5,-29.5,12.5,4,2,1,3,1,3,4,2,linear,poly,True,2.5,10
36,2025-12-07T16:59:25.510935+00:00,36.724387,36.461829,36.05961,39.506224,36.471449,0.262558,0.664777,2.781837,0.252937,-0.714942,-1.810179,7.574903,-0.688745,-21.5,38.5,-29.5,12.5,-21.0,38.0,-31.0,14.0,3,2,1,4,2,3,4,1,kalman,poly,True,2.5,10
37,2025-12-07T16:59:25.617574+00:00,34.104916,33.623736,33.438339,36.688037,33.710559,0.48118,0.666577,2.583121,0.394357,-1.410882,-1.95449,7.574043,-1.156306,-21.0,38.0,-31.0,14.0,-20.5,37.5,-32.5,15.5,3,2,1,4,2,3,4,1,kalman,poly,True,2.5,10
38,2025-12-07T16:59:25.727062+00:00,31.644263,30.949269,30.982546,34.002859,31.112427,0.694994,0.661717,2.358595,0.531837,-2.196272,-2.091113,7.453469,-1.680674,-20.5,37.5,-32.5,15.5,-21.0,38.0,-34.0,17.0,2,3,1,4,3,2,4,1,kalman,poly,True,2.5,10
39,2025-12-07T16:59:25.827346+00:00,29.367015,28.465151,28.71677,31.477519,28.703013,0.901864,0.650245,2.110503,0.664002,-3.07101,-2.214203,7.186646,-2.261048,-21.0,38.0,-34.0,17.0,-21.5,39.5,-35.5,17.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
40,2025-12-07T16:59:25.928685+00:00,27.295925,26.196202,26.663648,29.137249,26.506392,1.099723,0.632277,1.841324,0.789533,-4.028891,-2.316378,6.745783,-2.892495,-21.5,39.5,-35.5,17.5,-22.0,41.0,-37.0,18.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
41,2025-12-07T16:59:26.031561+00:00,25.451687,24.165093,24.843696,27.005433,24.544511,1.286594,0.60799,1.553747,0.907176,-5.055043,-2.388802,6.10469,-3.564305,-22.0,41.0,-37.0,18.0,-22.5,42.5,-38.5,18.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
42,2025-12-07T16:59:26.133751+00:00,23.852727,22.392118,23.275098,25.103372,22.836973,1.460609,0.577629,1.250645,1.015754,-6.123448,-2.421649,5.243194,-4.258439,-22.5,42.5,-38.5,18.5,-24.0,44.0,-39.0,19.0,1,4,2,3,4,1,3,2,poly,poly,False,2.5,10
43,2025-12-07T16:59:26.237838+00:00,22.515022,20.894991,21.973525,23.450069,21.400839,1.620031,0.541497,0.935047,1.114183,-7.195333,-2.405046,4.152991,-4.94862,-24.0,44.0,-39.0,19.0,-25.5,45.5,-38.5,18.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
44,2025-12-07T16:59:26.344126+00:00,21.451938,19.688672,20.951984,22.062044,20.250458,1.763266,0.499954,0.610106,1.201479,-8.21961,-2.330576,2.844062,-5.600796,-25.5,45.5,-38.5,18.5,-27.0,47.0,-38.0,18.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
45,2025-12-07T16:59:26.448037+00:00,20.674096,18.785214,20.220681,20.953166,19.397325,1.888883,0.453415,0.27907,1.276771,-9.13647,-2.193156,1.349853,-6.175704,-27.0,47.0,-38.0,18.0,-28.5,47.5,-36.5,17.5,1,3,4,2,4,2,1,3,alphabeta,poly,True,2.5,10
46,2025-12-07T16:59:26.554161+00:00,20.18927,18.193644,19.786923,20.134515,18.849964,1.995626,0.402346,0.054755,1.339306,-9.884589,-1.992873,-0.271208,-6.63375,-28.5,47.5,-36.5,17.5,-30.0,48.0,-35.0,17.0,1,3,4,2,4,2,1,3,alphabeta,poly,True,2.5,10
47,2025-12-07T16:59:26.659109+00:00,20.002302,17.919872,19.655045,19.614269,18.613844,2.08243,0.347258,0.388033,1.388458,-10.410954,-1.736088,-1.939941,-6.941493,-30.0,48.0,-35.0,17.0,-31.5,49.5,-34.5,16.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
48,2025-12-07T16:59:26.765847+00:00,20.115062,17.966634,19.826363,19.397628,18.691324,2.148428,0.288699,0.717433,1.423738,-10.680691,-1.435238,-3.566648,-7.077971,-31.5,49.5,-34.5,16.5,-33.0,51.0,-34.0,16.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
49,2025-12-07T16:59:26.868269+00:00,20.526422,18.333463,20.299166,19.486756,19.081629,2.192958,0.227256,1.039666,1.444792,-10.683588,-1.107138,-5.065012,-7.038696,-33.0,51.0,-34.0,16.0,-34.5,52.5,-33.5,15.5,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
50,2025-12-07T17:01:11.211899+00:00,50.0,19.016694,21.06873,19.880762,19.780861,30.983306,28.93127,30.119238,30.219139,-61.966612,-57.86254,-60.238477,-60.438278,-34.5,52.5,-33.5,15.5,-36.0,54.0,-33.0,15.0,1,4,3,2,4,1,2,3,poly,poly,False,2.5,10
51,2025-12-07T17:01:11.259497+00:00,52.995002,34.393364,43.703162,46.754342,43.322227,18.601639,9.291841,6.240661,9.672775,-35.100742,-17.533428,-11.775942,-18.25224,-36.0,54.0,-33.0,15.0,-37.5,54.5,-31.5,14.5,1,3,4,2,4,2,1,3,alphabeta,poly,True,2.5,10
52,2025-12-07T17:01:11.311568+00:00,55.96008,47.988289,60.27163,52.208601,56.971896,7.971791,4.31155,3.751479,1.011816,-14.245495,7.704688,-6.703848,1.808103,-37.5,54.5,-31.5,14.5,-39.0,54.0,-31.0,16.0,1,2,3,4,4,3,2,1,kalman,poly,True,2.5,10
53,2025-12-07T17:01:11.363386+00:00,58.865606,59.420369,71.291897,55.471241,64.236676,0.554762,12.426291,3.394365,5.37107,0.942422,21.109594,-5.766296,9.124292,-39.0,54.0,-31.0,16.0,-37.5,52.5,-30.5,15.5,4,1,3,2,1,4,2,3,linear,poly,True,2.5,10
54,2025-12-07T17:01:11.418104+00:00,61.68255,68.33011,77.441214,58.459577,67.878057,6.647559,15.758664,3.222973,6.195506,10.77705,25.54801,-5.225097,10.04418,-37.5,52.5,-30.5,15.5,-38.0,51.0,-29.0,16.0,2,1,4,3,3,4,1,2,alphabeta,poly,True,2.5,10
55,2025-12-07T17:01:11.468923+00:00,64.382766,74.383223,79.549555,61.340939,69.770281,10.000457,15.166789,3.041828,5.387514,15.532816,23.557219,-4.724599,8.367945,-38.0,51.0,-29.0,16.0,-38.5,49.5,-27.5,16.5,2,1,4,3,3,4,1,2,alphabeta,poly,True,2.5,10
56,2025-12-07T17:01:11.522710+00:00,66.939274,77.273961,78.59132,64.106479,71.023059,10.334687,11.652046,2.832795,4.083785,15.438899,17.40689,-4.231888,6.100731,-38.5,49.5,-27.5,16.5,-39.0,48.0,-26.0,17.0,2,1,4,3,3,4,1,2,alphabeta,poly,True,2.5,10
57,2025-12-07T17:01:11.579527+00:00,69.326531,76.728175,75.675602,66.730586,72.190772,7.401645,6.349071,2.595944,2.864241,10.676496,9.158213,-3.744518,4.131522,-39.0,48.0,-26.0,17.0,-40.5,47.5,-24.5,17.5,1,2,4,3,4,3,1,2,alphabeta,poly,True,2.5,10
